feature,importance
Age_Standard_Gap,0.0
Financial_Stress,0.007336629350979791
Scholarship,0.020263344037045095
Caste,0.022400045750510456
Gender,0.025521308384254898
Family_Income,0.03157823109174469
Special_Care,0.03213813162165707
Area,0.037197080564700884
School,0.037333280013729396
Parental_Education,0.04443952046729889
Standard,0.07619584035619026
Distance,0.07625022364802063
Age,0.07926475285718128
Parent_Type,0.0803294841387793
Attendance,0.09672310032244283
Previous_Score,0.15070999852542116
Attendance_Score_Interaction,0.18231902887004328
